"ID","name","address","phone"
"a487","Eastwards Cozy Home","Baan Wasin Siri Maka M.2 T.Nong Khwai A.Hang Lank, 23/7, 50993 Chiang Mai, Thailand",
"a488","Stylish family apartment in The Hub - Mayton Storing","445 Witan Gate 11, Inside House, Milton Keynesing, M1 2SU, United Kingdom",
"a489","Meeting MVS","13 Plaza Drive, Unit 235, Whole Forge, 37363, United States of America",
"a490","Hotel Haotinman","No 19, Jalan Raya, 08000 Kulim, Malaysia",
"a491","Hotel Asterodi am Hauptplatz","Hauptplazt 125, Charlottenburg-Wilmersdorf, 10733 Berlin, Germany",
"a492","Queen Laut Resort","Indir Cibangbang, Desa Pasir, Cisolok, 43445 Cisolok, Indonesia",
"a493","Island Club 88 House","2344 Leeward Lane, Put-in-Bay, 43356, United States of America",
"a494","Guest Paradise – Bedroom Home","22 North Dogwood Drive, ""Paradise"", Surfside Beach, Myrtle Beach, 29347, United States of America",
"a495","OldCity Open-hotel - Suites & Apartments","39 Chark Compound Campus, New Cairo City, 99999 Cairo, Egypt",
"a496","Live Party Bed & Breakfast","Woal Cavour 2, 25015 Desenzano del Garda, Italy",
"a497","Lala Hostala","Lalla Lambda 22, 91000 Chefchaouen, Morocco",
"a498","Orka Mountain villa 10","Ovacık, 48340 Ovacik, Turkey",
"a499","Arltanka Silver Triangle","11 Moo 1, Chiang Ikan - Mae Sai, 57150 Golden Triangle, Thailand",
